block_id,route_id,trip_headsign,service_id,shape_id,trip_id
b_5134,71,Melran,s_merged_998606,7101,585460
b_5133,51,Hespeler Road to Hespeler,muwtf_merged_998607,5101,557214
b_8023,200,iXpress to Conestoga Mall,a_merged_998605,20001,583281
b_1232,27,Chicopee,a_merged_998605,2701,582571
a_8004,200,iXpress to Ainslie Terminal,muwtf_merged_998604,20011,548209
a_8026,200,iXpress to Ainslie Terminal,muwtf_merged_998604,20011,548208
b_432,29,To King/University turnaround,a_merged_998605,2901,583212
b_2235,22,Laurentian West to Forest Glen,a_merged_998605,2211,581997
b_5132,51,Hespeler Road to Hespeler,muwtf_merged_998607,5101,557216
b_5133,51,Hespeler Road to Hespeler,muwtf_merged_998607,5101,557217
a_1232,9,Lakeshore to Conestoga Mall,s_merged_998603,911,553126
a_731,9,Lakeshore to Conestoga Mall,s_merged_998603,911,553127
a_733,9,Lakeshore to UW,s_merged_998603,901,553124
a_731,9,Lakeshore to Conestoga Mall,s_merged_998603,911,553125
a_733,9,Lakeshore to UW,s_merged_998603,901,553122
a_738,9,Lakeshore to UW,s_merged_998603,901,553123
a_739,9,Lakeshore to UW,s_merged_998603,901,553120
a_738,9,Lakeshore to UW,s_merged_998603,901,553121
b_5136,71,Melran,a_merged_998605,7101,583492
a_739,9,Lakeshore to Conestoga Mall,s_merged_998603,911,553128
a_738,9,Lakeshore to Conestoga Mall,s_merged_998603,911,553129
b_131,25,Queen South to Downtown via Westheights,s_merged_998606,2512,584849
b_132,25,Queen South to Downtown via Westheights,s_merged_998606,2512,584848
